Metric,Baseline (DistilBERT),Hybrid (DeBERTa + features)
Accuracy,0.9958453548759377,0.9721869590305828
Precision,0.9946869070208728,0.9665889665889665
Recall,0.9916761256148316,0.9413545213772229
F1,0.993179234558545,0.9538048686984857
